title,release_year,imdb_link,plot_des,runtime,budget,opening_weekend_gross,box_office_gross,studio,mpaa_rating,award,critic_score,audience_score,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,rotten_link,count_award
A BRIGHTER SUMMER DAY,1991,https://www.imdb.com/title/tt0101985/,"Based on a true story, primarily on a conflict between two youth gangs, a 14-year-old boy's girlfriend conflicts with the head of one gang for an unclear reason, until finally the conflict comes to a violent climax.",237,,,,Yang & His Gang Filmmakers,Not Rated,0,100,94,,,"Aug 10, 2016",['drama'],"['Tan Zhigang', 'Lawrence Ko', 'Wang Qizan', 'Yu Weiyan', 'Zhan Hongzhi', 'Yan Hongya', 'Han Chang', 'Zhang Zhen', 'Lisa Yang', 'Kuo-Chu Chang', 'Yang Shunqing', 'Lai Mingtang', 'Chuan Wang', 'Tang Xiaocui', 'Elaine Jin', 'Edward Yang']",['Edward Yang'],https://www.rottentomatoes.com/m/a_brighter_summer_day_1991,0
BATMAN HUSH,2019,https://www.imdb.com/title/tt8752440/,"When threads from Batman's past begin to unravel, the race is on for him to crack Hush's deadly game. Strange alliances will form and shattering secrets will be revealed when Hush's silence is finally broken.",81,,,,StarReel Entertainment,PG-13,0,88,67,,,"Jul 20, 2019","['action', 'animation', 'adventure']","[""Jerry O'Connell"", 'Jennifer Morrison', 'Rainn Wilson', 'Stuart Allan', 'Justin Copeland', 'Frederik Wiedmann', 'Bruce Thomas', 'Sean Maher', 'Amy McKenna', 'Peyton R. List', 'James Garrett', 'Rebecca Romijn', 'Sam Register', 'Michael E. Uslan', 'Benjamin Melniker', 'Ernie Altbacker', ""Jason O'Mara"", 'James Tucker']",['Justin Copeland'],https://www.rottentomatoes.com/m/batman_hush,0
BLOOD QUANTUM,2019,https://www.imdb.com/title/tt7394674/,"The dead are coming back to life outside the isolated Mi'kmaq reserve of Red Crow, except for its Indigenous inhabitants who are strangely immune to the zombie plague.",98,"CAD5,500,000",,"$10,926",Prospector Films,Not Rated,0,90,39,,,"Apr 28, 2020",['horror'],"['Jeff Barnaby', 'Olivia Scriven', 'Michael Greyeyes', 'Elle-Maija Tailfeathers', 'Brandon Oakes', 'Kiowa Gordon', 'Robert Vroom', 'Forrest Goodluck', 'Tim Ringuette', 'William Belleau', 'Ryan Shoup', 'Stonehorse Lone Goeman', 'John Christou', 'Gabe Scarpelli', 'Michel St. Martin', 'Todd Brown']",['Jeff Barnaby'],https://www.rottentomatoes.com/m/blood_quantum,0
BRANDED,2012,https://www.imdb.com/title/tt1368440/,"In future Moscow, where corporate brands have created a disillusioned population, one man's effort to unlock the truth behind the conspiracy will lead to an epic battle with hidden forces that control the world.",106,,"$240,589,","$4,227,984",Mirumir,R,0,9,24,"Sep 7, 2012",,"May 23, 2016","['scifi', 'mysteryandthriller']","['Leelee Sobieski', 'Jeffrey Tambor', 'Ed Stoppard', 'Jamie Bradshaw', 'Max von Sydow', 'Ingeborga Dapkunayte', 'Alexander Doulerain', 'Viktoria Popova', 'Maria Ignatova']","['Jamie Bradshaw', 'Alexander Doulerain']",https://www.rottentomatoes.com/m/branded_2012,0
BRAVE,2012,https://www.imdb.com/title/tt1217209/,"Determined to make her own path in life, Princess Merida (Kelly Macdonald) defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.",93,"$185,000,000","$66,323,594,","$538,983,207",Walt Disney Pictures,PG,0,78,75,"Jun 22, 2012",,"Nov 22, 2015","['animation', 'kidsandfamily', 'comedy', 'adventure']","['Kelly Macdonald', 'Billy Connolly', 'Mark Andrews', 'Robbie Coltrane', 'Craig Ferguson', 'Brenda Chapman', 'Steve Purcell', 'Emma Thompson', 'Patrick Doyle', 'Irene Mecchi', 'Katherine Sarafian', 'John Lasseter', 'Kevin McKidd', 'Sally Kinghorn', 'Eilidh Fraser', 'Julie Walters']","['Brenda Chapman', 'Mark Andrews']",https://www.rottentomatoes.com/m/brave_2012,0
BYZANTIUM,2012,https://www.imdb.com/title/tt1531901/,"Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a local resort.",118,,,,,R,0,65,51,"Jun 28, 2013",,"Mar 22, 2016",['horror'],"['Glenn Doherty', 'Alan Moloney', 'Sean Bobbitt', 'Javier Navarrete', 'William D. Johnson', 'Elizabeth Karlsen', 'Sam Englebardt', 'Jonny Lee Miller', 'Daniel Mays', 'Neil Jordan', 'Gemma Arterton', 'Caleb Landry Jones', 'Warren Brown', 'Ruby Snape', 'Saoirse Ronan', 'Sam Riley', 'Tony Lawson', 'Stephen Woolley', 'Thure Lindhardt', 'Moira Buffini']",['Neil Jordan'],https://www.rottentomatoes.com/m/byzantium_2012,0
GRANDMA,2015,https://www.imdb.com/title/tt4270516/,"A teenager facing an unplanned pregnancy seeks help from her acerbic grandmother, a woman who is long estranged from her daughter.",79,"$600,000","$115,540,","$7,205,073",Depth of Field,R,0,91,67,"Aug 21, 2015",,"Aug 10, 2016","['comedy', 'drama']","['Dan Balgoyen', 'Marcia Gay Harden', 'Andrew Miano', 'Sam Elliott', 'Nat Wolff', 'Judy Greer', 'Laverne Cox', 'Paris Kasidokostas Latsis', 'Stephanie Meurer', 'Julia Garner', 'Tobias Datum', 'Danielle Renfrew Behrens', 'Terry Dougas', 'Lily Tomlin', 'Paul Weitz', 'Elizabeth Peña', 'John Cho']",['Paul Weitz'],https://www.rottentomatoes.com/m/grandma_2015,0
NASTY BABY,2015,https://www.imdb.com/title/tt3121332/,"A close-knit trio navigates the idea of creating life, while at the same time being confronted with a brutal scenario.",101,,"$8,023,","$80,772",Fabula,R,0,68,40,"Oct 23, 2015",,"Apr 30, 2016","['comedy', 'gayandlesbian', 'drama']","['Alia Shawkat', 'David Hinojosa', 'Agustín Silva', 'Anthony Chisholm', 'Pablo Larraín', 'Pape Boye', 'Reg E. Cathey', 'Sebastián Silva', 'Kristen Wiig', 'Charlie Dibe', 'Neal Huff', 'Julia Oh', 'Peter Danner', 'Violaine Pichon', 'Juan de Dios Larraín', 'Tunde Adebimpe', 'Mark Margolis']",['Sebastián Silva'],https://www.rottentomatoes.com/m/nasty_baby,0
ONCE UPON A TIME IN VENICE,2017,https://www.imdb.com/title/tt4694544/,A Los Angeles detective seeks out the ruthless gang that stole his dog.,94,,,"$855,888",Movie Trailer House,Not Rated,0,21,28,"Jun 16, 2017",,"Jun 16, 2017","['action', 'comedy']","['Valentina Gardani', 'Bruce Willis', 'Nicolas Chartier', 'Mark Cullen', 'Adam Goldberg', 'Jason Momoa', 'Stephen J. Eads', 'Christopher McDonald', 'Maurice Compte', 'Kal Penn', 'John Goodman', 'Thomas Middleditch', 'Jonathan Deckter', 'Famke Janssen', 'Robb Cullen', 'Tyga', 'Zev Foreman']",['Mark Cullen'],https://www.rottentomatoes.com/m/once_upon_a_time_in_venice,0
RADIUS,2017,https://www.imdb.com/title/tt6097798/,"A man wakes up with no memory of who he is, and finds that everyone who comes within a certain distance of him suddenly dies.",93,,,"$14,097",EMA Films,Not Rated,0,93,61,,,"Nov 9, 2017","['scifi', 'mysteryandthriller']","['Brett Donahue', 'Nazariy Demkowicz', 'Charlotte Sullivan', 'Kristen Sawatzky', 'Catherine Dumonceaux', 'Caroline Labrèche', 'Patrick Ewald', 'Benoit Beaulieu', 'Bj Verot', 'Diego Klattenhoff', 'Anne-Marie Gélinas', 'Giles Daoust', 'Jean Du Toit', 'Andrea del Campo', 'Steeve Léonard', 'Bradley Sawatzky']","['Caroline Labrèche', 'Steeve Léonard']",https://www.rottentomatoes.com/m/radius,0
ROOM,2015,https://www.imdb.com/title/tt3170832/,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",118,,,,,R,0,93,93,"Jan 22, 2016",,"May 22, 2016",['drama'],"['Joan Allen', 'Megan Park', 'Sean Bridgers', 'Emma Donoghue', 'Tom McCamus', 'David Gross', 'Jeff Arkuss', 'Rose Garnett', 'Brie Larson', 'David Kosse', 'Ed Guiney', 'William H. Macy', 'Andrew Lowe', 'Amanda Brugel', 'Lenny Abrahamson', 'Jacob Tremblay', 'Jesse Shapira']",['Lenny Abrahamson'],https://www.rottentomatoes.com/m/room_2015,0
SPECIAL ID,2013,https://www.imdb.com/title/tt2118775/,"A cop goes undercover in a ruthless underworld organization to stop a gang leader, only to put himself in great danger after being exposed by his former protégé and best friend.",99,,"$6,153,","$29,139,936",Beijing Starlit Movie and TV Culture,R,0,56,25,"Mar 7, 2014",,"Mar 2, 2017","['action', 'mysteryandthriller', 'drama', 'crime']","['Hee Ching Paw', 'Peter Pau', 'Clarence Fok Yiu-leung', 'Peng Dou', 'Qi Daji', 'Ka-Fai Cheung', 'Donnie Yen', 'Kam-Yuen Szeto', 'Guo Shou-Bao', 'Zhigang Yang', 'Tian Jing', 'Sanping Han', 'Collin Chou', 'Hanyu Zhang', 'Andy On', 'Ronald Cheng']",['Clarence Fok Yiu-leung'],https://www.rottentomatoes.com/m/special_id,0
THE BIG YEAR,2011,https://www.imdb.com/title/tt1053810/,"Two bird enthusiasts try to defeat the cocky, cutthroat world record holder in a year-long bird-spotting competition.",100,"$41,000,000","$3,251,884,","$8,179,416",Fox 2000 Pictures,PG,0,42,41,"Oct 14, 2011",,"Nov 25, 2015",['comedy'],"['Ben Stiller', 'Owen Wilson', 'Rashida Jones', 'Steve Martin', 'Jack Black', 'David Frankel', 'Rosamund Pike', 'Theodore Shapiro', 'Lawrence Sher', 'Carol Fenelon', 'Anthony Anderson', 'Curtis Hanson', 'Brian Dennehy', 'Jeremy Kramer', 'Howard Franklin', 'Karen Rosenfelt', 'Anjelica Huston', 'Stuart Cornfeld', 'JoBeth Williams', 'Dianne Wiest']",['David Frankel'],https://www.rottentomatoes.com/m/the_big_year,0
THE CAPTIVE,2014,https://www.imdb.com/title/tt2326612/,"Eight years after the disappearance of Cassandra, some disturbing incidents seem to indicate that she's still alive. Police, parents and Cassandra herself, will try to unravel the mystery of her disappearance.",112,,,,,R,0,29,34,"Dec 12, 2014",,"Jan 29, 2016",['mysteryandthriller'],"['Ryan Reynolds', 'Mychael Danna', 'Bruce Greenwood', 'Scott Speedman', 'Alexia Fast', 'Atom Egoyan', 'David Fraser', 'Jennifer Weiss', 'Simone Urdl', 'Paul Sarossy', 'Brendan Gall', 'Stephen Traynor', 'Rosario Dawson', 'Mireille Enos', 'Patrice Theroux', 'Kevin Durand']",['Atom Egoyan'],https://www.rottentomatoes.com/m/the_captive_2014,0
THE KINDERGARTEN TEACHER,2018,https://www.imdb.com/title/tt6952960/,A kindergarten teacher in New York becomes obsessed with one of her students whom she believes is a child prodigy.,96,,,"$681,765",Pie Films,R,0,90,68,,,"Oct 12, 2018",['drama'],"['Gael García Bernal', 'Osnat Handelsman-Keren', 'Celine Rattray', 'Trudie Styler', 'Rosa Salazar', 'Lee Broda', 'Zachery Ty Bryan', 'Anna Baryshnikov', 'Daisy Tahan', 'Parker Sevak', 'Christopher S Burke', 'Ajay Naidu', 'Sara Colangelo', 'Talia Kleinhendler', 'Michael Chernus', 'Maggie Gyllenhaal']",['Sara Colangelo'],https://www.rottentomatoes.com/m/the_kindergarten_teacher_2018,0
THE RAID REDEMPTION,2011,https://www.imdb.com/title/tt1899353/,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,101,,,,,R,0,86,87,"Apr 13, 2012",,"Feb 4, 2014","['action', 'drama', 'sportsandfitness', 'crime']","['Ray Sahetapy', 'Doni Alamsyah', 'Tegar Satrya', 'Joe Taslim', 'R. Maya Barack-Evans', 'Matt Flannery', 'Yayan Ruhian', 'Iang Darmawan', 'Dimas Imam Subhono', 'Eka ""Piranha"" Rahmadia', 'Irwan D. Mussry', 'Nate Bolotin', 'Gareth Huw Evans', 'Todd Brown', 'Ario Sagantoro', 'Iko Uwais', 'Pierre Gruno', 'Verdi Solaiman']",['Gareth Huw Evans'],https://www.rottentomatoes.com/m/the_raid_redemption,0
TRANCE,2013,https://www.imdb.com/title/tt1924429/,An art auctioneer becomes mixed up with a group of criminals partners with a hypnotherapist in order to recover a lost painting.,101,"$20,000,000","$131,145,","$24,261,569",Pathé,R,1,68,62,"Apr 5, 2013",,"Dec 12, 2015","['crime', 'drama', 'mysteryandthriller']","['François Ivernel', 'Danny Boyle', 'James McAvoy', 'Joe Ahearne', 'Cameron McCracken', 'Christian Colson', 'Steven Rales', 'Matt Cross', 'John Hodge', 'Bernard Bellew', 'Mark Roybal', 'Tuppence Middleton', 'Mark Poltimore', 'Tessa Ross', 'Danny Sapani', 'Wahab Sheikh', 'Rosario Dawson', 'Vincent Cassel']",['Danny Boyle'],https://www.rottentomatoes.com/m/trance_2013,1
ZERO CHARISMA,2013,https://www.imdb.com/title/tt2294965/,An overgrown nerd who serves as Game Master of a fantasy board game finds his role as leader of the misfits put into jeopardy when a new initiate enters the group.,86,,,"$9,417",OJO Entertainment,Not Rated,0,77,55,"Oct 11, 2013",,"Aug 10, 2016",['comedy'],"['Cyndi Williams', 'Garrett Graham', 'Rod Olson', 'Anne Gee Byrd', 'Lowell Bartholomee', 'Larry Jack Dotson', 'John Gholson', 'Dakin Matthews', 'Katie Graham', 'Lindsay Stephenson', 'Andrew Matthews', 'Allan Boscacci', 'Brock England', 'Ezra Venetos', 'Thomas Fernandes', 'Katie Folger', 'Sam Eidson']","['Andrew Matthews', 'Katie Graham']",https://www.rottentomatoes.com/m/zero_charisma,0
ZOO,2017,https://www.imdb.com/title/tt3688342/,"Young Tom Hall (Art Parkinson) and his misfit friends fight to save ""Buster"" the baby elephant during the German air raid bombings of Belfast, Northern Ireland in 1941.",97,"$4,000,000",,"$231,719",Wee Buns,PG,0,88,61,"Jun 8, 2018",,"Jun 10, 2018","['war', 'drama', 'history']","[""Ian O'Reilly"", 'James Stockdale', 'Lisa Lambert', 'Toby Jones', 'Stephen Hagan', 'Art Parkinson', 'Pauline Hutton', 'Colin McIvor', 'Jacqueline Kerrin', 'Penelope Wilton', 'Christopher Figg', 'Amy Huberman', 'Robert Whitehouse', 'Katy Jackson', 'Ian McElhinney', 'Kevin Jackson', ""Damian O'Hare"", 'John Leslie', 'Thomas Vencelides']",['Colin McIvor'],https://www.rottentomatoes.com/m/zoo_2018,0
AMERICAN FOLK,2017,https://www.imdb.com/title/tt4998222/,"Two strangers, both folk musicians stranded in California, take a road trip to New York in the days after 9/11. A story about the kindness of strangers and the power of music.",99,,,"$75,829",Vanishing Angle,PG,0,77,67,"Jan 26, 2018",,"Jan 26, 2018","['drama', 'music']","['Elizabeth Dennehy', 'Krisha Fairchild', 'Emma Thatcher', 'Bruce Beatty', 'David Heinz', 'Julian Gopal', 'Derek Sivers', 'Aaron Downing', 'Matt Miller', 'Ben Lovett', 'Miranda LaDawn Hill', 'Holger Moncada Jr.', 'Devin Whetstone', 'Amber Rubarth', 'Marie Jach', 'Fiona Walsh Heinz', 'Joe Purdy', 'David Fine']",['David Heinz'],https://www.rottentomatoes.com/m/american_folk,0
AND SO IT GOES,2014,https://www.imdb.com/title/tt2465146/,A self-absorbed realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.,94,"$18,000,000","$4,642,329,","$25,419,147",ASIG Productions,PG-13,1,18,40,"Jul 25, 2014",,"Nov 19, 2015","['drama', 'romance']","['Ron Lynch', 'Andy Karl', 'Mark Andrus', 'Scott Shepherd', 'Frances Sternhagen', 'Diane Keaton', 'Martin Shafer', 'Annie Parisse', 'Frankie Valli', 'Liz Glotzer', 'Alan Greisman', 'Michael Douglas', 'Austin Lysy', 'Maurice Jones', 'Jared Goldman', 'Andrew Scheinman', 'Sterling Jerins', 'Mark Damon', 'Rob Reiner']",['Rob Reiner'],https://www.rottentomatoes.com/m/and_so_it_goes,1
BEGIN AGAIN,2013,https://www.imdb.com/title/tt1980929/,"A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents.",104,"$8,000,000","$134,064,","$65,652,908",Exclusive Media Group,R,0,83,81,"Jul 2, 2014",,"Dec 5, 2016","['comedy', 'drama', 'romance']","['Mark Ruffalo', 'John Carney', 'Yasiin Bey', 'Guy East', 'Keira Knightley', 'Maddie Corman', 'Sam Hoffman', 'Hailee Steinfeld', 'Ben Nearn', 'Tobin Armbrust', 'Judd Apatow', 'James Corden', 'Tom Rice', 'Anthony Bregman', 'Adam Levine', 'Catherine Keener', 'Nigel Sinclair', 'CeeLo Green']",['John Carney'],https://www.rottentomatoes.com/m/begin_again_2013,0
CAESAR MUST DIE,2012,https://www.imdb.com/title/tt2177511/,"Inmates at a high-security prison in Rome prepare for a public performance of Shakespeare's ""Julius Caesar.""",77,,,"$1,567,339",Kaos Cinematografica,Unrated,0,92,74,,,"Mar 25, 2016",['drama'],"['Rosario Majorana', 'Juan Dario Bonetti', 'Cecilia Valmarana', 'Donatella Palermo', 'Laura Andreini Salerno', 'Giovanni Arcuri', 'Antonio Frasca', 'Vincenzo Gallo', 'Cosimo Rega', 'Vittorio Taviani', 'Agnese Fontana', 'Salvatore Striano', 'Grazia Volpi', 'Giuliano Taviani', 'Gennaro Solito', 'Paolo Taviani']","['Vittorio Taviani', 'Paolo Taviani']",https://www.rottentomatoes.com/m/caesar_must_die_2012,0
DYING OF THE LIGHT,2014,https://www.imdb.com/title/tt1274586/,"When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.",94,"$5,000,000",,"$697,847",TinRes Entertainment,R,1,11,15,"Dec 5, 2014",,"Nov 12, 2015","['action', 'mysteryandthriller']","['Christian Mercuri', 'Adetomiwa Edun', 'Todd Williams', 'Nicolas Winding Refn', 'Steve Schwartz', 'Claudius Peters', 'Alexander Karim', 'Irène Jacob', 'Scott Clayton', 'Antony Mitchell', 'David Grovic', 'Nicolas Cage', 'Gary A. Hirsch', 'Aymen Hamdouchi', 'Robert G. Slade', 'Paul Schrader', 'Anton Yelchin']",['Paul Schrader'],https://www.rottentomatoes.com/m/dying_of_the_light,1
ELENI,1985,https://www.imdb.com/title/tt0089079/,"A mother's love for her children leads to a son's revenge for her death in this dramatic thriller beginning during the Greece civil war. The powerful cast includes Kate Nelligan, John Malkovich and Linda Hunt.",114,,"$27,875,","$305,102",CBS Entertainment Production,PG,0,86,75,,,"Nov 22, 2020",['drama'],"['Kate Nelligan', 'John Malkovich', 'Linda Hunt', 'Steve Plytas', 'Glenne Headly', 'Ronald Pickup', 'Peter Woodthorpe', 'Mark Pick', 'Nicolas Gage', 'Peter Yates', 'Oliver Cotton', 'Nick Vanoff', 'Rosalie Crutchley', 'Dimitra Arliss']",['Peter Yates'],https://www.rottentomatoes.com/m/eleni,0
ENEMY,2013,https://www.imdb.com/title/tt2316411/,A man seeks out his exact look-alike after spotting him in a movie.,91,,"$16,161,","$3,468,224",Pathé,R,0,71,63,"Mar 14, 2014",,"Aug 12, 2016",['mysteryandthriller'],"['Mark Slone', 'Cameron McCracken', 'Javier Gullón', 'Jake Gyllenhaal', 'Stephen R. Hart', 'Nicolas Bolduc', 'Sarah Gadon', 'Miguel A. Faura', 'Niv Fichman', 'Victor Loewy', 'Jane Moffat', 'Joshua Peace', 'Denis Villeneuve', 'Loretta Yu', 'Matthew Hannam', 'Mélanie Laurent', 'François Ivernel', 'Isabella Rossellini']",['Denis Villeneuve'],https://www.rottentomatoes.com/m/enemy_2013,0
ESCAPE PLAN THE EXTRACTORS,2019,https://www.imdb.com/title/tt6772804/,"After security expert Ray Breslin is hired to rescue the kidnapped daughter of a Hong Kong tech mogul from a formidable Latvian prison, Breslin's girlfriend is also captured.",97,,,"$1,766,092",Highland Film Group (HFG),R,0,25,10,,,"Jul 2, 2019",[],"['Dave Bautista', 'John Herzfeld']",['John Herzfeld'],https://www.rottentomatoes.com/m/escape_plan_the_extractors,0
FOURTEEN,2019,https://www.imdb.com/title/tt9626278/,"Over the course of a decade, a young woman becomes increasingly dysfunctional due to undiagnosed mental illness, or perhaps to drugs, while her more stable friend sometimes tries to help, sometimes backs away to preserve herself.",94,"$95,000",,,Static Prods.,,0,98,53,"May 15, 2020",,"May 15, 2020",['drama'],"['Caitlin Mae Burke', 'Dan Sallitt', 'Tallie Medel', 'Kolyn Brown', 'Willy McGee', 'C. Mason Wells', 'Christopher Messina', 'Grace Sloan', 'Lorelei Romani', 'Josefina Labán', 'Norma Kuhling', 'Scott Friend', 'Dylan McCormick']",['Dan Sallitt'],https://www.rottentomatoes.com/m/fourteen_2019,0
IN THE FOG,2012,https://www.imdb.com/title/tt2325741/,"Western frontiers of the USSR, 1942. The region is under German occupation. A man is wrongly accused of collaboration. Desperate to save his dignity, he faces impossible moral choice.",127,,"$2,327,","$186,838",Belarusfilm,Not Rated,0,87,60,,,"Aug 10, 2016","['drama', 'war']","['Stepans Bogdanovs', 'Jurgis Karsons', 'Heino Deckert', 'Oleg Mutu', 'Yuliya Peresild', 'Vladislav Abashin', 'Nikita Peremotovs', 'Vilnis Kalnaellis', 'Danielius Kokanauskis', 'Vlad Ivanov', 'Vladimir Svirskiy', 'Dmitry Bykovskiy', 'Dmitrijs Kolosovs', 'Valentina Mikhalyova', 'Maria Baker', 'Kirill Petrov', 'Sergey Kolesov', 'Sergei Loznitsa', 'Joost de Vries']",['Sergei Loznitsa'],https://www.rottentomatoes.com/m/v_tumane_2012,0
JAMIE MARKS IS DEAD,2014,https://www.imdb.com/title/tt2381046/,"Based on the novel ""One For Sorrow"" by Christopher Barzak, Jamie Mark is Dead is the story of a murdered high school boy who returns as a ghost looking for the love and friendship he never had when he was alive.",101,"$2,200,000",,,Verisimilitude,Not Rated,0,59,45,"Aug 29, 2014",,"Nov 30, 2016","['drama', 'horror']","['Tyler Brodie', 'Madisen Beaty', 'Burton Gray', 'Morgan Saylor', 'Hezi Bezalel', 'Omri Bezalel', 'Liv Tyler', 'Michael W. Gray', 'Ryan Munzert', 'Brett DelBuono', 'Erin Wilhelmi', 'Marcelo Gandola', 'Judy Greer', 'Lizzy DeClement', 'Cameron Monaghan', 'Carter Smith', 'Noah Silver', 'Jacob Jaffke']",['Carter Smith'],https://www.rottentomatoes.com/m/jamie_marks_is_dead,0
JENNYS WEDDING,2015,https://www.imdb.com/title/tt3289712/,"Jenny's parents and siblings are always trying to set her up with a man when she visits them. What they don't know is that she's already met the right person, her ""roommate"" Kitty, 5 years ago and she wants to marry her and start a family.",94,,"$2,254,","$42,927",MM Productions,PG-13,0,25,34,"Jul 31, 2015",,"Apr 8, 2017","['gayandlesbian', 'romance']","['Mary Agnes Donoghue', 'Sam McMurray', 'Grace Gummer', 'Matthew Metzger', 'Tom Wilkinson', 'Gail Levin', 'Kevin Scott Frakes', 'Katherine Heigl', 'Michelle Manning', ""Cathleen O'Malley"", 'Alex Wake', 'Diana Hardcastle', 'Linda Emond', 'Myles Nestel', 'Brian Byrne', 'Alexis Bledel', 'Stuart Brown', 'Lauren Selig']",['Mary Agnes Donoghue'],https://www.rottentomatoes.com/m/jennys_wedding,0
OPERATION RED SEA,2018,https://www.imdb.com/title/tt6878882/,PLA Navy Marine Corps launch a hostage rescue operation in the fictional Republic of Ihwea and undergo a fierce battle with rebellions and terrorism.,142,"$70,000,000","$436,059,","$579,330,426",Bona Film Group,TV-MA,0,80,64,"Feb 23, 2018",,"Jul 24, 2018","['action', 'adventure']","['Dong Yu', 'Jiahao Guo', 'Luxia Jiang', 'Ji Feng', 'Noureddine Aberdine', 'Hai Qing', 'Johnny Huang', 'Yutian Wang', 'Yuen Man Fung', 'Fang Yin', 'Candy Leung', 'Dante Lam', 'Yi Zhang', 'Elliot Leung', 'Henry Prince Mak', 'Jiang Du', 'Zakaria Alaoui']",['Dante Lam'],https://www.rottentomatoes.com/m/operation_red_sea,0
PRIDE AND PREJUDICE AND ZOMBIES,2016,https://www.imdb.com/title/tt1374989/,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.,108,,,,,PG-13,0,46,45,"Feb 5, 2016",,"Sep 10, 2016","['action', 'comedy', 'horror']","['Burr Steers', 'Sean McKittrick', 'Ellie Bamber', 'Millie Brady', 'Marc Butan', 'Natalie Portman', 'Annette Savitch', 'Charles Dance', 'Sam Riley', 'Sue Baden-Powell', 'Bella Heathcote', 'Allison Shearmur', 'Brian Oliver', 'Lily James', 'Tyler Thompson', 'Suki Waterhouse', 'Douglas Booth', 'Jack Huston', 'Sally Phillips']",['Burr Steers'],https://www.rottentomatoes.com/m/pride_and_prejudice_and_zombies,0
STORKS,2016,https://www.imdb.com/title/tt4624424/,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",87,,,,,PG,0,65,62,"Sep 23, 2016",,"Dec 6, 2016","['animation', 'kidsandfamily', 'adventure', 'comedy']","['Ty Burrell', 'Jennifer Aniston', 'Anton Starkman', 'Keegan-Michael Key', 'Stephen Kramer Glickman', 'Danny Trejo', 'Andy Samberg', 'Kelsey Grammer', 'Brad Lewis', 'Jordan Peele', 'Phil Lord', 'Katie Crown', 'Christopher Miller', 'John Requa', 'Nicholas Stoller', 'Glenn Ficarra', 'Doug Sweetland', 'Jared Stern']","['Doug Sweetland', 'Nicholas Stoller']",https://www.rottentomatoes.com/m/storks,0
THE ARTIST,2011,https://www.imdb.com/title/tt1655442/,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,100,"$15,000,000","$204,878,","$133,432,856",Studio 37,PG-13,0,95,87,"Nov 23, 2011",,"Feb 4, 2014","['drama', 'romance']","['Ed Lauter', 'Bérénice Bejo', 'Richard Middleton', 'Missi Pyle', 'Guillaume Schiffman', 'Ludovic Bource', 'Thomas Langmann', 'Daniel Delume', 'Jean Dujardin', 'Anne-Sophie Bion', 'Antoine De Cazotte', 'Penelope Ann Miller', 'John Goodman', 'Elizabeth Tulloch', 'Michel Hazanavicius', 'James Cromwell', 'Joel Murray', 'Beth Grant']",['Michel Hazanavicius'],https://www.rottentomatoes.com/m/the_artist,0
THE MASTER,2012,https://www.imdb.com/title/tt1560747/,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.,138,"$32,000,000","$736,311,","$28,258,060",The Weinstein Company,R,1,84,62,"Sep 14, 2012",,"Sep 13, 2015",['drama'],"['Leonida A. Bautista', 'Frank Bettag', 'Paul Thomas Anderson', 'Ambyr Childers', 'Mihai Malaimare Jr.', 'Amy Adams', 'Adam Somner', 'Jesse Plemons', 'Laura Dern', 'Amy Ferguson', 'Joanne Sellar', 'Ted Schipper', 'Megan Ellison', 'Jonny Greenwood', 'Philip Seymour Hoffman', 'Joaquin Phoenix', 'Daniel Lupi']",['Paul Thomas Anderson'],https://www.rottentomatoes.com/m/the_master_2011,1
WITCHES IN THE WOODS,2019,https://www.imdb.com/title/tt8354344/,"Jill, a tenacious UMass freshman, abandons her studies for an off-the-grid snowboarding trip. When their SUV mysteriously becomes lost, temperatures fall and the group dynamic unravels as a virtual and then literal witch hunt begins.",90,,,"$71,640",Gearshift Films,Not Rated,0,57,56,,,"Apr 24, 2020","['mysteryandthriller', 'horror']","['Corbin Bleu', 'Keegan Jessamy', 'Hannah Kasulka', 'Sasha Clements', 'Allan Fung', 'Alexander De Jordy', 'Kyle Mac', 'Craig Arnold', 'Christopher Borrelli', 'Humberly González', 'David Lafontaine', 'Martin Wojtunik', 'Glen Charles Landry', 'Jordan Barker', 'Chris Morgan', 'Borga Dorter']",['Jordan Barker'],https://www.rottentomatoes.com/m/witches_in_the_woods,0
