title,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award,is_holiday,success
THE PIRATES WHO DONT DO ANYTHING A VEGGIETALES MOVIE,Three vegetable friends seek the roots of true heroism during a 17th-century adventure.,2008,85,18031170,15924798,Universal Pictures,G,2008-01-11,['Mike Nawrocki'],"['Tim Hodge', 'Mike Nawrocki', 'Phil Vischer', 'Cam Clarke']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,False
IL NOSTRO MESSIA,"Five young girls share an apartment in Rome, different precarious conditions and a common desire for actresses.",2008,94,589018,13970,Trees Pictures,,2008-05-23,['Claudio Serughetti'],"['Veronica Barbatano', 'Tinto Brass', 'Maria Rita Cardella', 'Rosalinda Celentano']",['Drama'],0,False,False
IF I STAY,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",2014,107,12025720,85573763,DiNovi Pictures,PG-13,2014-08-22,['R.J. Cutler'],"['Chloë Grace Moretz', 'Mireille Enos', 'Jamie Blackley', 'Joshua Leonard']","['Drama', 'Fantasy', 'Music', 'Romance', 'Sci-Fi']",0,False,True
PROMETHEUS,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",2012,124,146543158,454683369,Twentieth Century Fox,R,2012-06-08,['Ridley Scott'],"['Noomi Rapace', 'Logan Marshall-Green', 'Michael Fassbender', 'Charlize Theron']","['Adventure', 'Mystery', 'Sci-Fi']",0,False,True
AMOUR,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",2012,127,10032570,33439052,Les Films du Losange,PG-13,2012-09-20,['Michael Haneke'],"['Jean-Louis Trintignant', 'Emmanuelle Riva', 'Isabelle Huppert', 'Alexandre Tharaud']",['Drama'],0,False,True
PLANES,A cropdusting plane with a fear of heights lives his dream of competing in a famous around-the-world aerial race.,2013,91,55549092,265812087,Prana Studios,PG,2013-08-09,['Klay Hall'],"['Carlos Alazraqui', 'Dane Cook', 'Stacy Keach', 'Brad Garrett']","['Animation', 'Adventure', 'Comedy', 'Family']",0,False,True
ANNA,"A man with the ability to enter people's memories takes on the case of a brilliant, troubled sixteen-year-old girl to determine whether she is a sociopath or a victim of trauma.",2013,99,7776872,1396661,The Safran Company,R,2014-01-24,['Jorge Dorado'],"['Mark Strong', 'Taissa Farmiga', 'Brian Cox', 'Saskia Reeves']","['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",0,False,False
COMPLIANCE,"A normal Friday service at a fast food restaurant becomes interrupted by a police officer who claims an employee stole from a customer, but something more sinister is going on.",2012,90,304358,667465,Bad Cop Bad Cop Film Productions,R,2012-09-26,['Craig Zobel'],"['Ann Dowd', 'Dreama Walker', 'Pat Healy', 'Bill Camp']","['Crime', 'Drama', 'Thriller']",0,False,True
COLLIDE,"An American backpacker gets involved with a ring of drug smugglers as their driver, though he winds up on the run from his employers across Cologne high-speed Autobahn.",2016,99,23184475,7351673,42,PG-13,2017-02-24,['Eran Creevy'],"['Nicholas Hoult', 'Felicity Jones', 'Anthony Hopkins', 'Ben Kingsley']","['Action', 'Crime', 'Thriller']",2,False,False
ROCKY HANDSOME,A reclusive pawn shop owner sets his sights on revenge when vicious gangsters kidnap his drug-addicted neighbor's young daughter.,2016,119,323504314,74717,Azure Entertainment,Unrated,2016-03-25,['Nishikant Kamat'],"['John Abraham', 'Nishikant Kamat', 'Sharad Kelkar', 'Teddy Maurya']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
DRISHYAM,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,2013,160,38884364,14527493,Aashirvad Cinemas,Unrated,2013-12-19,['Jeethu Joseph'],"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']","['Crime', 'Drama', 'Thriller']",0,False,False
ONCE I WAS A BEEHIVE,"After losing her father to cancer, a teenage girl reluctantly joins her new stepcousin at a summer camp for Latter-day Saint (Mormon) girls.",2015,119,218390,800023,Main Dog Productions,PG,2015-08-14,['Maclain Nelson'],"['Paris Warner', 'Lisa Clark', 'Hailey Smith', 'Clare Niederpruem']","['Comedy', 'Drama', 'Family']",0,False,True
QUEEN OF KATWE,A Ugandan girl sees her world rapidly change after being introduced to the game of chess.,2016,124,16175215,11179404,ESPN Films,PG,2016-09-30,['Mira Nair'],"['Madina Nalwanga', 'David Oyelowo', ""Lupita Nyong'o"", 'Martin Kabanza']","['Biography', 'Drama', 'Sport']",0,False,False
GIRLS LOST,Nectar from a magic flower allows three girls to live as boys for a while.,2015,106,2183902,3888,Gtafilm,Unrated,2016-02-19,['Alexandra-Therese Keining'],"['Tuva Jagell', 'Emrik Öhlander', 'Louise Nyvall', 'Alexander Gustavsson']","['Crime', 'Drama', 'Thriller']",0,False,False
BAAGHI,A martial arts student seeks revenge after the murder of his master.,2016,133,5607408,12150648,Benetone Films,Unrated,2016-04-29,['Sabir Khan'],"['Shraddha Kapoor', 'Tiger Shroff', 'Sudheer Babu Posani', 'Paras Arora']","['Action', 'Romance', 'Thriller']",0,False,True
FOAM PARTY,A mansion full of people reunited for an orgy looking for sex. A bunch of strangers finding themselves looking for love.,2017,93,527927,19947,Potenza Producciones,TV-MA,2017-06-02,['Roberto Pérez Toledo'],"['Sara Sálamo', 'Diego Martínez', 'Nacho San José', ""Carlo D'Ursi""]","['Comedy', 'Drama', 'Romance']",0,False,False
PULIMURUGAN,"When a small village near a forest is under the threat of man eating tigers and a drug mafia, the villagers seek the help of an unstoppable force, a hunter invincible.",2016,161,269586928,146711,Mulakuppadam Films,Unrated,2016-10-07,['Vysakh'],"['Mohanlal', 'Jagapathi Babu', 'Kamalinee Mukherjee', 'Lal']",['Action'],0,False,False
JOYSTICKS,"When a top local businessman and his two bumbling nephews try to shut down the town's only video arcade, arcade employees and patrons fight back.",1983,88,779551,10270452,Greydon Clark Productions,R,1983-03-04,['Greydon Clark'],"['Joe Don Baker', 'Leif Green', 'Jim Greenleaf', 'Scott McGinnis']",['Comedy'],0,False,True
GREYSTOKE THE LEGEND OF TARZAN LORD OF THE APES,"A missing heir of respected Scottish family, raised in African jungles by animals, finally returns to his estate only to realize that difference between the two worlds is really significant.",1984,143,74728873,114231959,Warner Bros,PG,1984-03-30,['Hugh Hudson'],"['Christopher Lambert', 'Andie MacDowell', 'Ralph Richardson', 'Ian Holm']","['Adventure', 'Drama']",0,False,True
JAWS THE REVENGE,Chief Brody's widow believes that her family is deliberately being targeted by another shark in search of revenge.,1987,89,52400114,118198739,Universal Pictures,PG-13,1987-07-17,['Joseph Sargent'],"['Lorraine Gary', 'Lance Guest', 'Mario Van Peebles', 'Karen Young']","['Adventure', 'Horror', 'Thriller']",0,False,True
LETHAL WEAPON 2,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,1989,114,58441193,475573532,Warner Bros,R,1989-07-07,['Richard Donner'],"['Mel Gibson', 'Danny Glover', 'Joe Pesci', 'Patsy Kensit']","['Action', 'Crime', 'Thriller']",0,False,True
FEDERAL HILL,"On the mean streets of Providence, five friends struggle for a future in the mob-infested neighborhood known as Federal hill. Petty burglar Ralph and his drug-dealing friend Nicky are inseparable until Nicky meets a beautiful….",1994,97,139709,898984,Eagle Beach,R,1995-02-24,['Michael Corrente'],"['Nicholas Turturro', 'Anthony DeSando', 'Libby Langdon', 'Michael Raynor']","['Crime', 'Drama']",0,False,True
THE AMERICAN PRESIDENT,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway.",1995,114,105290564,183204725,Universal Pictures,PG-13,1995-11-17,['Rob Reiner'],"['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox']","['Comedy', 'Drama', 'Romance']",1,False,True
ENEMY OF THE STATE,A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,1998,132,142901779,398298679,Touchstone Pictures,R,1998-11-20,['Tony Scott'],"['Will Smith', 'Gene Hackman', 'Jon Voight', 'Lisa Bonet']","['Action', 'Thriller']",2,False,True
Y TU MAM TAMBIN,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",2001,106,2922766,49126875,Anhelo Producciones,R,2001-06-08,['Alfonso Cuarón'],"['Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']",['Drama'],0,False,True
THE SLAUGHTER RULE,"A young man finds solace with a young woman, his mother, and a high-school football coach who recruits him to quarterback a six-man team.",2002,112,719319,19293,Solaris,R,2002-09-14,"['Alex Smith', 'Andrew J. Smith']","['Ryan Gosling', 'David Morse', 'Clea DuVall', 'David Cale']","['Drama', 'Sport']",0,False,False
ARARAT,"Interrogated by a customs officer, a young man recounts how his life was changed during the making of a film about the Armenian genocide.",2002,115,22298891,3946667,Alliance Atlantis Communications,R,2002-12-06,['Atom Egoyan'],"['Charles Aznavour', 'Brent Carver', 'Eric Bogosian', 'Simon Abkarian']","['Drama', 'War']",0,False,False
READ MY LIPS,She is almost deaf and he lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.,2001,115,71607786,7882009,Canal,R,2002-07-26,['Jacques Audiard'],"['Vincent Cassel', 'Emmanuelle Devos', 'Olivier Gourmet', 'Olivier Perrier']","['Crime', 'Drama', 'Romance', 'Thriller']",0,False,False
MEAN MACHINE,A football star jailed for assault leads a group of inmates in a match against prison guards.,2001,99,3653458,10683013,Paramount Pictures,R,2001-12-26,['Barry Skolnick'],"['Vinnie Jones', 'David Kelly', 'David Hemmings', 'Ralph Brown']","['Comedy', 'Crime', 'Drama', 'Sport']",0,False,True
ALEXANDER,"Alexander, the King of Macedonia and one of the greatest army leaders in the history of warfare, conquers much of the known world.",2004,175,212364769,229214464,Warner Bros,R,2004-11-24,['Oliver Stone'],"['Colin Farrell', 'Anthony Hopkins', 'Rosario Dawson', 'Angelina Jolie']","['Action', 'Biography', 'Drama', 'History', 'War']",2,False,True
FLIGHTPLAN,"A bereaved woman and her daughter are flying home from Berlin to America. At 30,000 feet, the child vanishes, and nobody will admit she was ever on the plane.",2005,98,72885842,296032208,Touchstone Pictures,PG-13,2005-09-23,['Robert Schwentke'],"['Jodie Foster', 'Peter Sarsgaard', 'Sean Bean', 'Kate Beahan']","['Drama', 'Mystery', 'Thriller']",0,False,True
9TH COMPANY,"Young Soviet Army recruits are stuck in the bloody war in Afghanistan, that was started by politicians.",2005,139,12589372,34648822,Art Pictures Group,R,2005-09-29,['Fedor Bondarchuk'],"['Artur Smolyaninov', 'Aleksey Chadov', 'Konstantin Kryukov', 'Ivan Kokorin']","['Action', 'Drama', 'History', 'War']",0,False,True
WIND CHILL,"Two college students share a ride home for the holidays, but when they break down on a deserted stretch of road, they are preyed upon by the ghosts of people who have died there.",2007,91,7489394,355821,Blueprint Pictures,R,2007-08-03,['Gregory Jacobs'],"['Emily Blunt', 'Ashton Holmes', 'Martin Donovan', 'Ned Bellamy']","['Adventure', 'Drama', 'Horror', 'Thriller']",0,False,False
TULIP FEVER,An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.,2017,105,26396356,9718662,Worldview Entertainment,R,2017-09-01,['Justin Chadwick'],"['Alicia Vikander', 'Dane DeHaan', ""Jack O'Connell"", 'Holliday Grainger']","['Drama', 'History', 'Romance']",0,False,False
THE INVESTIGATOR,"Badly needing money for the treatment of his ill mother, pathologist Tibor Malkáv accepts the proposition of a stranger to murder someone he doesn't know a thing about.",2008,107,156270140,106952,Anagram,,2008-10-02,['Attila Gigor'],"['Zsolt Anger', 'András Márton Baló', 'Péter Blaskó', 'Csaba Czene']","['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",0,False,False
RESIDENT EVIL AFTERLIFE,"While still out to destroy the evil Umbrella Corporation, Alice joins a group of survivors living in a prison surrounded by the infected who also want to relocate to the mysterious but supposedly unharmed safe haven known only as Arcadia.",2010,96,71214091,356341172,Screen Gems,R,2010-09-10,['Paul W.S. Anderson'],"['Milla Jovovich', 'Ali Larter', 'Wentworth Miller', 'Kim Coates']","['Action', 'Adventure', 'Horror', 'Sci-Fi']",0,False,True
WASTE LAND,"On the outskirts of Rio de Janeiro is Jardim Gramacho, the world's largest landfill, where men and women sift through garbage for a living. Artist Vik Muniz produces portraits of the workers and learns about their lives.",2010,99,1780352,345752,Almega Projects,Unrated,2011-01-21,"['Lucy Walker', 'Karen Harley', 'João Jardim']",['Vik Muniz'],['Documentary'],0,False,False
BEYOND,A drama set in 1970s Sweden and centered on a young woman's experiences growing up in a home riddled with abuse and alcoholism.,2010,99,3560704,6880087,Kamoli Films,Unrated,2010-12-10,['Pernilla August'],"['Noomi Rapace', 'Ola Rapace', 'Outi Mäenpää', 'Ville Virtanen']",['Drama'],0,False,True
GET THE GRINGO,A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.,2012,96,22545101,9950096,Icon Productions,R,2012-06-22,['Adrian Grunberg'],"['Mel Gibson', 'Kevin Balmore', 'Daniel Giménez Cacho', 'Jesús Ochoa']","['Action', 'Crime', 'Drama']",1,False,False
ONE WILD MOMENT,"Two friends bring their daughters with them on a beach vacation and find themselves in an awkward situation. A remake of the 1977 film ""Un moment d'égarement"".",2015,105,13322647,6601219,La Petite Reine,Unrated,2015-06-24,['Jean-François Richet'],"['Vincent Cassel', 'François Cluzet', 'Lola Le Lann', 'Alice Isaaz']","['Comedy', 'Drama', 'Romance']",0,False,False
MAGIC MIKE XXL,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",2015,115,16160877,128646110,Warner Bros,R,2015-07-01,['Gregory Jacobs'],"['Channing Tatum', 'Joe Manganiello', 'Matt Bomer', 'Adam Rodriguez']","['Comedy', 'Drama', 'Music']",0,False,True
KNOCK KNOCK,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",2015,99,2729878,6079004,Black Bear Pictures,R,2015-10-09,['Eli Roth'],"['Keanu Reeves', 'Lorenza Izzo', 'Ana de Armas', 'Aaron Burns']","['Drama', 'Thriller']",0,False,True
EAT LOCALS,"Facing difficult times and with their glory days long gone, the eight undisputed British vampire overlords gather up for their semi-centennial meeting. However, before the break of dawn, there will be blood. And corpses. Lots of them.",2017,94,1583781,17424,Evolution Pictures,TV-MA,2017-06-16,['Jason Flemyng'],"['Freema Agyeman', 'Adrian Bower', 'Roman Clark', 'Billy Cook']","['Action', 'Comedy', 'Horror']",0,False,False
A CURE FOR WELLNESS,"An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.",2016,146,43133908,28705618,New Regency Productions,R,2017-02-17,['Gore Verbinski'],"['Dane DeHaan', 'Jason Isaacs', 'Mia Goth', 'Ivo Nandi']","['Drama', 'Fantasy', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",0,False,False
LOVE SIMON,"Simon Spier keeps a huge secret from his family, his friends and all of his classmates: he's gay. When that secret is threatened, Simon must face everyone and come to terms with his identity.",2018,110,17521562,68350882,Fox 2000 Pictures,PG-13,2018-03-16,['Greg Berlanti'],"['Nick Robinson', 'Jennifer Garner', 'Josh Duhamel', 'Katherine Langford']","['Comedy', 'Drama', 'Romance']",0,False,True
ANA MY LOVE,Toma and Ana meet as students in the literature faculty and quickly fall in love.,2017,125,2111708,196600,Parada Film,,2017-03-03,['Cãlin Peter Netzer'],"['Mircea Postelnicu', 'Diana Cavallioti', 'Tania Popa', 'Igor Caras-Romanov']","['Drama', 'Romance']",0,False,False
THE SKIN OF THE WOLF,A highlander that lives alone in the mountains buys a wife to relieve his loneliness.,2017,110,1794952,55335,Crea SGR,TV-14,2018-07-06,['Samu Fuentes'],"['Mario Casas', 'Irene Escolar', 'Ruth Díaz', 'Kandido Uranga']","['Action', 'Adventure', 'Drama', 'Romance', 'Thriller']",0,False,False
DOGMAN,"A timid dog groomer living in a poor suburb sells cocaine on the side and stays out of trouble, while trying to deal with his unstable, violent acquaintance who is a menace to the whole neighborhood.",2018,103,4122720,5236006,Archimede,Unrated,2019-04-12,['Matteo Garrone'],"['Marcello Fonte', 'Edoardo Pesce', 'Nunzia Schiano', 'Adamo Dionisi']","['Crime', 'Drama', 'Thriller']",0,False,True
ANNIE,"A spunky young orphan is taken in by a rich eccentric, much to the chagrin of the cantankerous woman who runs the orphanage.",1982,127,134098963,153044092,Columbia Pictures,PG,1982-06-18,['John Huston'],"['Aileen Quinn', 'Albert Finney', 'Carol Burnett', 'Ann Reinking']","['Comedy', 'Drama', 'Family', 'Musical']",1,False,True
THE BEASTMASTER,"A sword-and-sorcery fantasy about a young man's search for revenge. Armed with supernatural powers, the handsome hero and his animal allies wage war against marauding forces.",1982,118,21455834,37699316,Leisure Investment Company,PG,1982-08-20,['Don Coscarelli'],"['Marc Singer', 'Tanya Roberts', 'Rip Torn', 'John Amos']","['Action', 'Adventure', 'Fantasy']",0,False,True
CHRISTINE,A nerdish boy buys a strange car with an evil mind of its own and his nature starts to change to reflect it.,1983,110,25205488,54614965,Columbia Pictures,R,1983-12-09,['John Carpenter'],"['Keith Gordon', 'John Stockwell', 'Alexandra Paul', 'Robert Prosky']","['Horror', 'Thriller']",0,False,True
THE PROTECTOR,"Two New York City cops, Billy Wong and Danny Garoni, head to Hong Kong after the daughter of a rich businessman is kidnapped by the drug lord, Mr. Ko.",1985,91,12026533,2361570,Eurasia Investments,R,1985-08-23,['James Glickenhaus'],"['Jackie Chan', 'Danny Aiello', 'Sandy Alexander', 'Victor Arnold']","['Action', 'Crime', 'Thriller']",0,False,False
9 WEEKS,A woman becomes involved with a man she barely knows. Complications develop during their sexual escapades.,1986,117,40144041,15906302,Producers Sales Organization PSO,R,1986-02-21,['Adrian Lyne'],"['Mickey Rourke', 'Kim Basinger', 'Margaret Whitton', 'David Margulies']","['Drama', 'Romance']",0,False,False
JINGLE ALL THE WAY,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out of them, and he must travel all over town and compete with everybody else in order to find one.",1996,89,98971701,214162207,1492 Pictures,PG,1996-11-22,['Brian Levant'],"['Arnold Schwarzenegger', 'Sinbad', 'Phil Hartman', 'Rita Wilson']","['Adventure', 'Comedy', 'Family']",0,False,True
MONUMENT AVE,A small-time hoodlum is divided between his conscience and loyalty to his boss when his cousin is murdered.,1998,93,17465773,529943,Apostle,R,1998-09-25,['Ted Demme'],"['Denis Leary', 'Ian Hart', 'Jason Barry', 'Lenny Clarke']","['Crime', 'Drama', 'Thriller']",0,False,False
THE LORD OF THE RINGS THE FELLOWSHIP OF THE RING,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,178,135908656,1311869368,New Line Cinema,PG-13,2001-12-19,['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']","['Action', 'Adventure', 'Drama', 'Fantasy']",0,False,True
ROCK STAR,Lead singer of a tribute band becomes lead singer of the real band he idolizes.,2001,105,83298853,28254598,Warner Bros,R,2001-09-07,['Stephen Herek'],"['Mark Wahlberg', 'Jennifer Aniston', 'Dominic West', 'Jason Bonham']","['Drama', 'Music']",0,False,False
GHISLAIN LAMBERTS BICYCLE,"In the 70s, there was Merckx and there were the others. Ghislain Lambert was one of the others. This is his story, a quite simple one. The story of a modest Belgian bike racer. His greatest ambition in life? To become a champion. His greatest tragedy? Not having the legs his heart deserves.",2001,119,112526521,4084489,AF Production,Unrated,2001-10-24,['Philippe Harel'],"['Benoît Poelvoorde', 'José Garcia', 'Daniel Ceccaldi', 'Sacha Bourdo']","['Comedy', 'Drama', 'Sport']",0,False,False
ANGER MANAGEMENT,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor.",2003,106,105493614,275332457,Revolution Studios,PG-13,2003-04-11,['Peter Segal'],"['Jack Nicholson', 'Adam Sandler', 'Marisa Tomei', 'Luis Guzmán']",['Comedy'],1,False,True
SLEEPLESS NIGHTS,It tells about the smallest details and crypts in the lives of four couples friends.,2003,128,4219744,1676771,Arabeya Al Shareka,,2003-07-16,['Hani Khalifa'],"['Mona Zaki', 'Hanan Turk', 'Sherif Mounir', 'Fathi Abdulwahhab']","['Drama', 'Romance']",0,False,False
CHARLY,"Sam Roberts thinks he has all the answers: the purpose of life, the meaning of love, the plan for a perfect future. Until Charly walks into his life.",2002,103,1366706,1172009,Cinergy Films,PG,2002-09-20,['Adam Thomas Anderegg'],"['Jeremy Hoop', 'Randy King', 'Heather Beers', 'Lindsay Killian']","['Comedy', 'Drama', 'Romance']",0,False,False
DERAILED,"When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families.",2005,108,29154336,76171106,Di Bonaventura Pictures,R,2005-11-11,['Mikael Håfström'],"['Clive Owen', 'Jennifer Aniston', 'Vincent Cassel', 'Addison Timlin']","['Crime', 'Drama', 'Thriller']",0,False,True
THE CHUMSCRUBBER,A darkly satiric story about life crumbling in the midst of a seemingly idyllic suburbia.,2005,108,9011340,465675,El Camino Pictures,R,2006-10-05,['Arie Posin'],"['Jamie Bell', 'Allison Janney', 'Rory Culkin', 'Glenn Close']","['Comedy', 'Drama']",0,False,False
MUNICH,"Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day.",2005,164,92763799,173577141,Dreamworks Pictures,R,2006-01-06,['Steven Spielberg'],"['Eric Bana', 'Daniel Craig', 'Marie-Josée Croze', 'Ciarán Hinds']","['Action', 'Drama', 'History', 'Thriller']",1,False,True
LAND OF THE DEAD,"The living dead have taken over the world, and the last humans live in a walled city to protect themselves as they come to grips with the situation.",2005,93,19877956,62382506,Universal Pictures,R,2005-06-24,['George A. Romero'],"['John Leguizamo', 'Asia Argento', 'Simon Baker', 'Dennis Hopper']","['Horror', 'Sci-Fi', 'Thriller']",0,False,True
DHOOM,"A mysterious gang of bikers is on a robbing spree. ACP Jai gets Ali, a mechanic, to assist him in the case. With the clock ticking, it's up to them to nab the thieves red-handed.",2004,129,274019057,10018423,Yash Raj Films,Unrated,2004-08-27,['Sanjay Gadhvi'],"['Abhishek Bachchan', 'John Abraham', 'Uday Chopra', 'Esha Deol']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
BY THE PRICKING OF MY THUMBS,The Beresfords investigate mysterious deaths at an old people's home.,2005,105,7023544,12152363,Ah Victoria Films,,2005-04-13,['Pascal Thomas'],"['Catherine Frot', 'André Dussollier', 'Geneviève Bujold', 'Laurent Terzieff']","['Comedy', 'Mystery']",0,False,True
ATLAS SHRUGGED PART I,Railroad executive Dagny Taggart and steel mogul Henry Rearden form an alliance to fight the increasingly authoritarian government of the United States.,2011,97,23011660,5324179,Atlas Productions,PG-13,2011-04-15,['Paul Johansson'],"['Taylor Schilling', 'Grant Bowler', 'Matthew Marsden', 'Edi Gathegi']","['Drama', 'Mystery', 'Sci-Fi']",0,False,False
CASH,Three unique diamonds. Two teams of thieves. One big heist that spins out into a battle for the ultimate eternal prize: Cash.,2007,137,6241161,9338776,7even Entertainment,,2007-08-03,['Anubhav Sinha'],"['Ajay Devgn', 'Sunil Shetty', 'Zayed Khan', 'Riteish Deshmukh']","['Action', 'Crime', 'Thriller']",0,False,True
THE EAGLE,"In Roman-ruled Britain, a young Roman soldier endeavors to honor his father's memory by finding his lost legion's golden emblem.",2011,114,28764576,43710286,Focus Features,PG-13,2011-02-11,['Kevin Macdonald'],"['Channing Tatum', 'Jamie Bell', 'Donald Sutherland', 'István Göz']","['Action', 'Adventure', 'Drama', 'History', 'War']",0,False,True
ARENA,"David Lord finds himself forced into the savage world of a modern gladiatorial arena, where men fight to the death for the entertainment of the online masses.",2011,94,11505830,5522,Motion Picture Corporation of America MPCA,R,2011-10-11,['Jonah Loop'],"['Samuel L. Jackson', 'Kellan Lutz', 'Johnny Messner', 'Katia Winter']","['Action', 'Thriller']",0,False,False
THE IDES OF MARCH,An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.,2011,101,14382288,87833336,Columbia Pictures,R,2011-10-07,['George Clooney'],"['Paul Giamatti', 'George Clooney', 'Philip Seymour Hoffman', 'Ryan Gosling']","['Drama', 'Thriller']",1,False,True
CEREMONY,"Two friends are off on a weekend outing. Marshall thinks the trip is to re-establish their friendship, but Sam has ulterior motives in mind as he crashes the wedding of a woman he still loves.",2010,89,3,57177,NALA Films,R,2011-02-11,['Max Winkler'],"['Michael Angarano', 'Uma Thurman', 'Reece Thompson', 'Lee Pace']","['Comedy', 'Romance']",0,False,True
VEDA  ATATRK,"Story based on the memoirs of Salih Bozok, which traces the life of Mustafa Kemal Atatürk.",2010,114,7121409,65308806,Kamera Film,,2010-02-26,['Zülfü Livaneli'],"['Sinan Tuzcu', 'Serhat Mustafa Kiliç', 'Dolunay Soysert', 'Ezgi Mola']","['Biography', 'Drama', 'History', 'War']",0,False,True
RONAL THE BARBARIAN,"The 100 Barbarian Sons of Krull get attacked by a superior force and captured. It's up to the young, weak but smart Ronal to free them. 3 join his dangerous quest.",2011,89,20710494,2765321,Det Danske Filminstitut,Unrated,2011-09-29,"['Kresten Vestbjerg Andersen', 'Thorbjørn Christoffersen', 'Philip Einstein Lipski']","['Anders Juul', 'Hadi Ka-Koush', 'Lærke Winther', 'Brian Lykke']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0,False,False
SHAME,A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,2011,101,7478789,22003482,Fox Searchlight Pictures,NC-17,2012-01-13,['Steve McQueen'],"['Michael Fassbender', 'Carey Mulligan', 'James Badge Dale', 'Lucy Walters']",['Drama'],0,False,True
MOTHER OF GEORGE,"Adenike and Ayodele, a Nigerian couple living in Brooklyn, are having trouble conceiving a child - a problem that defies cultural expectations and leads Adenike to make a shocking decision that could either save or destroy her family.",2013,107,833236,175465,Maybach Film Productions,R,2013-01-18,['Andrew Dosunmu'],"['Danai Gurira', 'Isaach De Bankolé', 'Anthony Okungbowa', 'Bukky Ajayi']",['Drama'],0,False,False
BLACK NOVEMBER,"Inspired by true events, an oil-rich Nigerian community wages war against an oil corporation to protect their land from being destroyed. Rebels kidnap an American oil executive and demand that his corporation end the destruction.",2012,95,8454413,6517,Wells  Jeta Entertainment,TV-14,2015-01-09,['Jeta Amata'],"['Mbong Amata', 'Enyinna Nwigwe', 'Hakeem Kae-Kazim', 'Anne Heche']","['Action', 'Crime', 'Drama', 'Thriller']",0,False,False
REASONABLE DOUBT,A District Attorney has his life turned upside down when he's involved in a hit and run and another man is arrested for his crime and charged with murder.,2014,91,7652731,659011,Grindstone Entertainment Group,R,2014-01-17,['Peter Howitt'],"['Dominic Cooper', 'Samuel L. Jackson', 'Gloria Reuben', 'Ryan Robbins']","['Crime', 'Drama', 'Thriller']",0,False,False
1000 TIMES GOOD NIGHT,Rebecca is one of the world's top war photographers. She must weather a major emotional storm when her husband refuses to put up with her dangerous life any longer.,2013,117,5870650,2832523,Paradox Spillefilm,Unrated,2014-10-24,['Erik Poppe'],"['Juliette Binoche', 'Nikolaj Coster-Waldau', 'Lauryn Canny', 'Adrianna Cramer Curtis']","['Drama', 'War']",0,False,False
